 70 nan 4.698671e-01 8.034125e-01 4.859008e-01 6.014725e-01 5.360297e-01 7.890872e-01 1 0 1 1 0
1 nan 5.152721e-01 8.332405e-01 5.177857e-02 6.777942e-01 6.001821e-01 6.551497e-01 1 0 3 0 1
2 nan 4.307591e-01 9.699926e-01 4.813311e-01 3.943058e-01 5.231185e-01 5.960392e-01 0 1 5 1 0
3 nan 6.645849e-01 6.069998e-01 2.493480e-02 5.211177e-01 3.362124e-01 6.167930e-01 0 1 7 1 0
4 nan 3.970902e-01 4.841462e-01 3.284564e-01 6.722389e-01 3.945751e-01 5.256460e-01 0 1 9 1 0
5 nan 2.034057e-01 7.523849e-01 4.325879e-01 2.524834e-01 5.574113e-01 6.519225e-01 0 1 11 0 1
6 nan 6.018930e-01 3.304022e-01 7.292216e-01 6.756374e-01 5.558533e-01 5.651447e-01 1 0 13 0 1
7 nan 3.608733e-01 8.842209e-01 2.431472e-01 5.394255e-01 8.445046e-01 8.513967e-01 1 0 15 0 1
8 nan 3.536713e-01 2.660521e-01 2.537147e-01 3.267034e-01 4.969376e-01 4.741385e-01 0 1 17 1 0
9 nan 6.048337e-01 9.096190e-01 6.781611e-02 7.403195e-01 5.501395e-01 7.252412e-01 0 1 19 0 1
10 nan 5.118911e-01 7.818020e-01 2.283868e-01 2.799106e-01 2.213237e-01 2.617224e-01 0 1 21 0 1
11 nan 4.699601e-01 9.834048e-01 4.672330e-01 6.441494e-01 3.645858e-01 2.222767e-01 0 1 23 0 1
12 nan 5.855959e-01 5.269093e-01 4.168403e-01 5.653214e-01 4.530668e-01 6.590001e-01 0 1 25 0 1
13 nan 1.841100e-01 9.911546e-01 3.076466e-01 4.076285e-01 7.546802e-01 4.408224e-01 1 0 27 0 1
14 nan 4.915973e-01 7.757334e-01 4.873480e-01 6.255381e-01 7.257792e-01 9.124614e-01 0 1 29 1 0
15 nan 7.137035e-01 9.818511e-01 1.216974e-01 5.246174e-01 3.323062e-01 4.810438e-01 1 0 31 1 0
16 nan 4.830788e-01 9.792489e-01 1.531285e-01 4.620967e-01 6.298500e-01 7.404440e-01 0 1 33 0 1
17 nan 6.262291e-01 6.409317e-01 6.717755e-01 6.746349e-01 4.156705e-01 7.054140e-01 0 1 35 0 1
18 nan 4.399450e-01 4.234231e-01 2.721659e-01 5.107980e-01 3.796446e-01 5.451500e-01 1 0 37 0 1
19 nan 8.780921e-02 6.058286e-01 7.252632e-01 3.424267e-02 5.157109e-01 5.185733e-01 1 0 39 0 1
20 nan 6.693794e-01 4.251941e-01 4.859042e-01 4.341452e-01 5.877557e-01 5.969989e-01 0 1 41 0 1
